CAT;SZOCIÁLIS ÜGYEK ;;;
ITEM;1;TEHETSÉGGONDOZÓ PETRA MODELL PROGRAM ELINDÍTÁSA;https://petraprogram.net/;SUCCESS
ITEM;2;IDÕSÜGYI TANÁCS ÚJJÁSZERVEZÉSE;https://www.hodpress.hu/2021/01/09/belugyminiszteriumi-elismerest-kapott-hodmezovasarhely/;SUCCESS
ITEM;3;OLVASÓKÖRÖK ÉS NYUGDÍJAS KLUBOK FEJLESZTÉSE;https://www.hodmezovasarhely.hu/clld/;SUCCESS
ITEM;4;NYELVVIZSGAPROGRAM VÁSÁRHELYI DIÁKOKNAK;https://www.facebook.com/vasarhelyiexpress/posts/1077381556032963;SUCCESS
ITEM;5;DIGITÁLIS FELZÁRKÓZTATÓ PROGRAM;https://www.facebook.com/vasarhelyiexpress/posts/1092656637838788;SUCCESS
ITEM;6;IDÕSKORI FELÜGYELET ÉS TANYAGONDNOKI SZOLGÁLAT;;PROGRESS
ITEM;7;CIVIL ÉS SPORTSZERVEZETEK TÁMOGATÁSA;https://www.hodpress.hu/2020/09/11/2-2-milliot-kap-a-ket-uszoklub-a-hfc-t-35-millioval-tamogatja-a-varos/;SUCCESS
ITEM;8;IFJÚSÁGI KLUB KIALAKÍTÁSA;https://www.hodpress.hu/2021/04/03/hamarosan-fogadokesz-a-vasarhelyi-ifjusagi-klub/;SUCCESS
ITEM;9;VOLLI ÖNKÉNTES IRODA;https://www.hodpress.hu/2021/04/10/tobb-vasarhelyi-utszakasz-megszepult/;SUCCESS
ITEM;10;KIEMELKEDÕ TEVÉKENYSÉG ELISMERÉSE (NEGYEDÉV EÜ DOLGOZÓ, MENTÕS, TÛZOLTÓ;https://www.hodpress.hu/2021/04/06/keresik-2021-elso-negyedevenek-egeszsegugyi-dolgozojat/;SUCCESS
ITEM;11;ZENEKARI PRÓBATEREM KIALAKÍTÁSA;;PROGRESS
CAT;KÖZLEKEDÉS;;;
ITEM;12;INGYENES HELYI BUSZKÖZLEKEDÉS KIALAKÍTÁSA;https://24.hu/belfold/2020/12/16/hodmezovasarhely-tomegkozlekedes-ingyenes-marki-zay-peter/;PROBLEM
ITEM;13;GYALOGÁTKELÕHELYEK BIZTONSÁGOSABBÁ TÉTELE;https://radio7.hu/okos-zebra-vigyazza-a-gyalogosok-biztonsagat-a-vasarhelyi-nepkertnel;SUCCESS
ITEM;14;KÜLTERÜLETI UTAK FEJLESZTÉSE ÉS ÉS 117 KM KERÉKPÁRÚT LÉTREHOZÁSA;https://www.hodpress.hu/2020/12/03/uj-kerekparutak-a-tervek-kozbeszereztetese-mar-megtortent-x/;PROGRESS
ITEM;15;JÁRDÁK FOLYAMATOS FELÚJÍTÁSA, KARBANTARTÁSA;https://www.hodpress.hu/2021/03/23/folyamatos-az-utak-jardak-felujitasa/;SUCCESS
CAT;VÁLLALKOZÁSFEJLESZTÉS;;;
ITEM;16;HELYI GAZDASÁGFEJLESZTÕ EGYESÜLET LÉTREHOZÁSA;https://hge.hu/bejegyeztek-az-egyesuletet/;SUCCESS
ITEM;17;ÚJ GAZDASÁGI BEFEKTETÕK VONZÁSA A TELEPÜLÉSRE;https://www.hodpress.hu/2020/09/23/kfc-gyorsetterem-epulhet-vasarhelyen/;SUCCESS
ITEM;18;IPARI PARK TERÜLETÉNEK HASZNOSÍTÁSA, ÚJ CÉGEK BETELEPÍTÉSE;https://www.delmagyar.hu/gazdasag/helyi-gazdasag/uj-cegek-koltoznek-az-ipari-parkba-hodmezovasarhelyen-6914296/;SUCCESS
CAT;VÁROSFEJLESZTES;;;
ITEM;19;KOVÁCS-KÜRY IDÕSOTTHON FELÚJÍTÁSA;https://www.hodpress.hu/2020/12/16/535-millioert-kap-uj-kontost-a-kovacs-kury-idosotthon/;PROGRESS
ITEM;20;HÓDTÓI SPORTCSARNOK ENERGETIKAI KORSZERÛSÍTÉSE;https://radio7.hu/nyilaszarokat-cserelnek-a-vasarhelyi-sportcsarnokon;SUCCESS
ITEM;21;OVIFOCI PÁLYÁK LÉTESÍTÉSE;https://www.hodpress.hu/2020/10/06/epul-a-varos-harmadik-ovifoci-palyaja/;SUCCESS
ITEM;22;REKORTÁN FUTÓPÁLYA FELÚJÍTÁSA;https://www.hodpress.hu/2020/11/09/felujitjak-a-nepkerti-futopalyat/;SUCCESS
ITEM;23;RETRO MÚZEUM KIALAKÍTÁSA;https://www.hodpress.hu/2021/01/23/sorra-erkeznek-a-felajanlasok-a-retro-kiallitashoz/;PROGRESS
ITEM;24;VÁROSI STRANDFÜRDÕ FEJLESZTÉSE, CSÚSZDAPARK ÉS KEMPING LÉTESÍTÉSE;https://www.hodpress.hu/2021/02/07/elindult-a-strandfejlesztes-versenyeztetese-ket-het-mulva-elektronikai-hulladekgyujtes-lesz/;PROGRESS
ITEM;25;JÁTSZÓTEREK FOLYAMATOS MEGÚJÍTÁSA, FEJLESZTÉSE;https://www.hodpress.hu/2021/03/25/pentektol-hasznalhatjak-a-gyerekek-a-megujult-eva-utcai-jatszoteret/;SUCCESS
ITEM;26;MODERN VÁROSOK PROGRAM - ISKOLA FELÚJÍTÁSOK;https://www.hodpress.hu/2021/04/04/modern-varosok-program-befejezodott-a-bethlen-es-a-nemeth-laszlo-elokeszitesi-szakasza/;PROGRESS
ITEM;27;VÁROSKÁRTYA BEVEZETÉSE;https://www.hodpress.hu/2020/10/15/elindult-a-varoskartya-regisztracio/;SUCCESS
ITEM;28;MÁRTÉLYI TANÖSVÉNY FELÚJÍTÁSA, ÜDÜLÕTERÜLET FEJLESZTÉSE;;PROGRESS
ITEM;29;TELEKI UTCAI BÖLCSÖDE VISSZAÉPÍTÉSE;https://www.hodpress.hu/2021/04/14/megjott-az-engedely-a-teleki-utcai-bolcsode-kozbeszerzesere/;PROGRESS
ITEM;30;BELVÁROS ÚJRAÉLESZTÉSE, PARKOLÓK SZÁMÁNAK NÖVELÉSE;https://www.hodpress.hu/2020/08/15/tervek-keszultek-a-hodmezovasarhelyi-belvaros-felujitasara/;PROGRESS
CAT;LAKHATÁS;;;
ITEM;31;ÉPÍTMÉNYADÓ ELTÖRTLÉSE 101 M2 FELETT IS;https://www.hodpress.hu/2020/10/28/egy-ev-a-torony-alatt/;SUCCESS
ITEM;32;PROFESSZIONÁLIS INGATLANKEZELÕ VÁLALLAT LÉTREHOZÁSA;https://www.hodpress.hu/2020/08/05/az-ikv-atveszi-az-onkormanyzati-ingatlanok-kezeleset/;SUCCESS
CAT;KÖZTERÜLETEK;;;
ITEM;32;SZELEKTÍV HULLADÉGYÛJTÉS A LAKÓTELEPI ÖVEZETEKBEN;https://www.delmagyar.hu/kozelet/helyi-kozelet/ismet-kapnak-szelektiv-gyujtoket-a-vasarhelyi-tarsashazak-7007581/;SUCCESS
ITEM;33;ATEV ÁLTALI SZAGÁRTALOM MEGSZÜNTETÉSE;https://www.hodpress.hu/2021/03/08/atev-iden-befejezzuk-a-szagemissziokibocsatas-csokkentesi-nagyberuhazast/;PROGRESS
ITEM;34;ASZFALTOZOTT KERÉKPÁROS ÉS FUTÓÚT ÉPÍTÉSE;;PROGRESS
ITEM;35;UTCANÉVTÁBLÁK PÓTLÁSA;https://www.hodpress.hu/2020/11/10/marki-zay-nincsenek-betonmostrumok-de-sokeves-problemakat-oldunk-meg/;SUCCESS
ITEM;36;KÖZVILÁGÍTÁS JAVÍTÁSA;https://www.hodpress.hu/2020/12/29/megujult-a-kozvilagitas-a-deak-ferenc-utcan-is/;SUCCESS
ITEM;37;HULLADÉKUDVAR ÉS KOMPOSZTÁLÓ LÉTESÍTÉSE;;
ITEM;38;MODERN TELEPÜLÉSÜZEMELTETÉSI ESZKÖZÖK BESZERZÉSE;https://vasarhelyihirek.hu/ket_uj_gep_a_foldutak_karbantartasara;SUCCESS
ITEM;39;KÖZÖSSÉGI SÜTÖGETÕK KIALAKÍTÁSA;https://www.hodpress.hu/2020/08/23/kozossegi-sutogeto-helyeket-adnak-at-vasarhelyen/;SUCCESS
ITEM;40;ILLEGÁLIS HULLADÉKLERAKÓK MEGSZÜNTETÉSE;https://www.hodpress.hu/2020/12/08/szemettol-megtisztitott-arkok-a-varostabla-utan/;SUCCESS
ITEM;41;ELEKTRONIKAI HULLADÉKGYÛJTÉS MEGSZERVEZÉSE;https://www.hodpress.hu/2021/02/07/elindult-a-strandfejlesztes-versenyeztetese-ket-het-mulva-elektronikai-hulladekgyujtes-lesz/;SUCCESS
ITEM;42;ZÖLDTERÜLETEK MEGÓVÁSA, FÁSÍTÁSI PROGRAM;;SUCCESS
ITEM;43;ÖNKÉNTES VÁROSSZÉPÍTÕ AKCIÓK  MEGHIRDETÉSE;https://www.hodpress.hu/2021/03/16/folytatodnak-a-bango-kut-kornyezetrendezesi-munkalatai/;SUCCESS
CAT;ÁTLÁTHATÓSÁG;;;
ITEM;44;VÁSÁRHELYI TELEVÍZIÓ ÚJRAINDÍTÁSA;https://media1.hu/2020/02/04/ujra-lesz-hodmezovasarhelyen-helyi-teve-ujraindul-a-vasarhelyi-televizio/;SUCCES
ITEM;45;ÚJ, HITELES VÁROSI HÍRPORTÁL ELINDÍTÁSA;https://media1.hu/2020/01/27/hodpress-uj-hirportal-hodmezovasarhelyen/;SUCCESS
ITEM;46;ÖNKORMÁNYZATI CÉGEK ÁTVILÁGÍTÁSA;https://hang.hu/belfold/2020/03/04/hodmezovasarhely-egy-land-rovert-es-egy-ejjellato-keszuleket-is-vett-a-veszteseges-onkormanyzati-ceg/;SUCCESS
ITEM;47;ÖNKORMÁNYZATI CÉGEK ÁTSZERVEZÉSE, HATÉKONYABB MÛKÖDÉS BIZTOSÍTÁSA;https://www.delmagyar.hu/kozelet/helyi-kozelet/atszervezik-a-vasarhelyi-mediacentrumot-7187179/;SUCCESS
ITEM;48;EGYABLAKOS ÜGYINTÉZÉS LÉTREHOZÁSA;https://www.hodpress.hu/2020/09/11/2-2-milliot-kap-a-ket-uszoklub-a-hfc-t-35-millioval-tamogatja-a-varos/;SUCCESS
ITEM;49;KORRUPCIÓ MEGSZÜNTETÉSE, BESZERZÉSEK MEGNYITÁSA MINDENKI ELÕTT;https://magyarnarancs.hu/belpol/sulyos-korrupciogyanu-hodmezovasarhelyen-marki-zay-peter-koltsegvetesi-csalas-miatt-feljelentest-tesz-110331;SUCCESS
ITEM;50;BESZÁLLÍTÓI TARTOZÁSOK RENDEZÉSE;https://www.hodpress.hu/2020/10/28/egy-ev-a-torony-alatt/;SUCCCESS
ITEM;51;E-DEMOKRÁCIA SZOFTVER BEVEZETÉSE;;PROGRESS
CAT;KÖRNYEZETVÉDELEM;;;
ITEM;52;VÁROSI KLÍMSTRATÉGIA MEGALKOTÁSA;https://www.hodpress.hu/2020/07/02/klimastrategiat-hatarozott-meg-vasarhely-tobb-zoldfelulet-takarekos-vizfelhasznalas/;SUCCESS
ITEM;53;ÖNKÉNTES SZEMÉTSZEDÉSI AKCIÓK MEGHIRDETÉSE;https://www.hodpress.hu/2021/03/21/ot-kobmeter-szemetet-szedtek-ossze/;SUCCESS
ITEM;54;ZÖLD PONT IRODA LÉTREHOZÁSA;https://www.hodpress.hu/2020/10/21/napelemes-palyazatok-elkesziteseben-segit-a-varoshaza-zold-pont-irodaja/;SUCCESS
